2021-01-16 11:58:26 status unpacked libtasn1-6:amd64 4.13-3
2021-01-16 11:58:26 install libunistring2:amd64 <none> 0.9.10-1
2021-01-16 11:58:26 status half-installed libunistring2:amd64 0.9.10-1
2021-01-16 11:58:26 status unpacked libunistring2:amd64 0.9.10-1
2021-01-16 11:58:26 install libzstd1:amd64 <none> 1.3.8+dfsg-3
2021-01-16 11:58:26 status half-installed libzstd1:amd64 1.3.8+dfsg-3
2021-01-16 11:58:26 status unpacked libzstd1:amd64 1.3.8+dfsg-3
2021-01-16 11:58:26 install liblz4-1:amd64 <none> 1.8.3-1
2021-01-16 11:58:26 status half-installed liblz4-1:amd64 1.8.3-1
2021-01-16 11:58:26 status unpacked liblz4-1:amd64 1.8.3-1
2021-01-16 11:58:26 upgrade mawk:amd64 1.3.3-17+b3 1.3.3-17+b3
2021-01-16 11:58:26 status half-configured mawk:amd64 1.3.3-17+b3
2021-01-16 11:58:26 status unpacked mawk:amd64 1.3.3-17+b3
2021-01-16 11:58:26 status half-installed mawk:amd64 1.3.3-17+b3
2021-01-16 11:58:26 status unpacked mawk:amd64 1.3.3-17+b3
2021-01-16 11:58:26 install libncursesw6:amd64 <none> 6.1+20181013-2+deb10u2
2021-01-16 11:58:26 status half-installed libncursesw6:amd64 6.1+20181013-2+deb10u2
2021-01-16 11:58:26 status unpacked libncursesw6:amd64 6.1+20181013-2+deb10u2
2021-01-16 11:58:26 install libtinfo6:amd64 <none> 6.1+20181013-2+deb10u2
2021-01-16 11:58:26 status half-installed libtinfo6:amd64 6.1+20181013-2+deb10u2
2021-01-16 11:58:26 status unpacked libtinfo6:amd64 6.1+20181013-2+deb10u2
2021-01-16 11:58:26 install ncurses-base:all <none> 6.1+20181013-2+deb10u2
2021-01-16 11:58:26 status half-installed ncurses-base:all 6.1+20181013-2+deb10u2
2021-01-16 11:58:26 status unpacked ncurses-base:all 6.1+20181013-2+deb10u2
2021-01-16 11:58:26 install ncurses-bin:amd64 <none> 6.1+20181013-2+deb10u2
2021-01-16 11:58:26 status half-installed ncurses-bin:amd64 6.1+20181013-2+deb10u2
2021-01-16 11:58:26 status unpacked ncurses-bin:amd64 6.1+20181013-2+deb10u2
2021-01-16 11:58:26 install libhogweed4:amd64 <none> 3.4.1-1
2021-01-16 11:58:26 status half-installed libhogweed4:amd64 3.4.1-1
2021-01-16 11:58:26 status unpacked libhogweed4:amd64 3.4.1-1
2021-01-16 11:58:26 install libnettle6:amd64 <none> 3.4.1-1
2021-01-16 11:58:26 status half-installed libnettle6:amd64 3.4.1-1
2021-01-16 11:58:26 status unpacked libnettle6:amd64 3.4.1-1
2021-01-16 11:58:26 install libp11-kit0:amd64 <none> 0.23.15-2
2021-01-16 11:58:26 status half-installed libp11-kit0:amd64 0.23.15-2
2021-01-16 11:58:26 status unpacked libp11-kit0:amd64 0.23.15-2
2021-01-16 11:58:26 install libpam-modules:amd64 <none> 1.3.1-5
2021-01-16 11:58:26 status half-installed libpam-modules:amd64 1.3.1-5
2021-01-16 11:58:27 status unpacked libpam-modules:amd64 1.3.1-5
2021-01-16 11:58:27 install libpam-modules-bin:amd64 <none> 1.3.1-5
